	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Good brand name & structured firm with top notch systems	 Product Manager	15 Mar 2023	4.0	Strong branding, very good structured firm and internal processes, good mobility. Systems deployed are latest in market and projects sufficiently funded.	Progression takes long Pay is average if not in investment banking Can be bureaucratic
1	Good	 Analyst	23 Feb 2023	5.0	Nice people and good leaders	Big organisation, hard to make an impact
2	Njce place to work	 SVP-Technology	17 Feb 2023	5.0	Good place to share ideas and shine. Lot of like minded folks. Best work culture among all US banks Good pay and rewards for out performers	Hectic work life balance. Lot of paperwork in setting up new infra or new setup
3	Working in JP Morgan is rewarding	 Senior Associate	5 Feb 2023	5.0	Rewards high performing individuals. Good work-life balance.	Career mobility within the company can be improved.
4	Great place to work!	 Consultant	4 Feb 2023	5.0	The team is great, the leaders are fantastic, and it’s a wonderful experience. I was only a consultant so I didn’t get some of the pros the employees got, but it was really good	It was hard work but the environment made it a good place to learn
5	JP Morgan Financial Analyst	 Financial Analyst	2 Feb 2023	5.0	Constant collaboration with the team as well as other branches.	Relatively long hours and high expectations.
6	Great Benefits, Pay could be better	 Business Manager	30 Jan 2023	3.0	Medical Benefits are great, People are nice (but quite team dependent)	Pay could have been better
7	Progressive company	 Senior Associate	17 Jan 2023	4.0	There is inclusiveness, harmony. Team members are friendly and forthcoming.	Adherence to uk and us standards could slow down in apac processes
8	Good place to work	 Vice President	17 Jan 2023	5.0	Reputation, people are nice here	Could be faster pace environment
9	Not bad	 Corporate Analyst Development Program	15 Jan 2023	4.0	Good work life balance, fun	Boring work, a little mind numbing
10	Positive Experience	 Summer Analyst	26 Nov 2022	4.0	* Rather flat hierarchy * Lots of opportunities to work with peers from other regions, more exposure	* Long working hours especially if it involves other offices e.g. UK
11	Good work experience, enjoy it	 Software Engineer	24 Nov 2022	5.0	Flexible arrangement for WFH, space for growth and learning	Maybe the workplace is far
12	alright work culture	 Analyst	1 Nov 2022	4.0	good compensation, nice boss, good people	heavy workload, tiring, investment bank culture
13	Very formal culture	 Vice President	27 Oct 2022	3.0	Decent salary and nice enough people.	You are monitored constantly. Not for everyone. Big egos at the senior level.
14	everything is well	 	26 Oct 2022	5.0	gain more experience and money.	investment that i am facing
15	Generally Good	 Software Engineer	26 Oct 2022	4.0	There are lots of learning oppotunites	Somtimes it is diffuclt to work in a better way
16	Analyst Programme	 Business Analyst	20 Oct 2022	4.0	good exposure and networking opportunities	rigid rotational structure to mainly OPS middle/back office teams
17	Training	 Associate	14 Oct 2022	3.0	Can learn from co workers	There is no Work life balance
18	Asso	 Associate	11 Oct 2022	4.0	Big platform, nice culture, good name	Too many ppl in PB
19	Summer Analyst	 Summer Analyst	7 Oct 2022	5.0	Holistic training, good culture, great office, smooth onboarding and offboarding experience	competition is high, sometimes stressful
20	Benefits of working in JPMorgan	 Software Engineer	5 Oct 2022	4.0	Nice office, good location, good working culture	Lower than the market pay
21	big banks with a few good projects	 Vice President	30 Sep 2022	4.0	comprehensive benefits plan, flexible work artangement is possible	Singapore is a small hub for giant corporation, hard to have good projects depending on your department and managing director influences
22	Trade	 Vice President	23 Sep 2022	5.0	This is a very driven company	Too much processes on product
23	Can’t ask for much more	 Data Analyst	5 Sep 2022	4.0	Lots of ‘extracurricular’ activities to get involved in	Just those typical of a large org, nothing major
24	Big bank, but archaic senior management	 Global Markets Summer Analyst	31 Aug 2022	4.0	One of the largest banks in the world with great pay	People are not as bright as you'd make them out to be. Senior management is archaic (super old school and conservative), and pantry is not free (from the biscuits to a can of coke)
25	Good but not great	 Director of Change Management	20 Aug 2022	3.0	The compang pays quite competitive	The company demands much from you
26	Good work/life balance	 Vice President	19 Aug 2022	4.0	"- Currently mandatory 3 day week work from office - but its not bad considering we did 5 day previously
- Good work/life balance - working globally we do get stuck in after hours meeting sometimes, but the organizer will try to accommodate
- Work with good/smart people
- Frequent networking opportunities to get to know people outside your core work"	"- The ""Great Resignation"" is impacting projects, but no changes in prioritization and schedule of ongoing projects... Same scope with reduced effort
- Similarly new projects are assigned without full commitment from systems if they can support..."
27	Associate	 Associate	16 Aug 2022	4.0	work life balance is the best	pay is not good compare with market
28	So-so	 Associate	31 Jul 2022	3.0	Salary range and benefits are good	Too hierarchical and high turnover. Bonus remuneration not fantastic
29	Great company!	 Systems Administrator	26 Jul 2022	5.0	VG compensation structure, unmatched benefits program. Overall, great company to work for.	Location is too far out from the city centre.
30	Excellent Place to work with	 Associate	13 Jul 2022	5.0	"Global exposure
Lots of learning platforms
Good people and environment"	Expect to learn new thing as company move forward
31	Good Policies and Culture	 Vice President	13 Jul 2022	5.0	Internal Mobility is Great. All and all god culture.	Politics on lower level for no reason.
32	Good	 Operations Analyst	9 Jul 2022	4.0	Good bank big name bank	Not applicable not applicable tb
33	Awesome Place to be with	 Vice President	7 Jul 2022	5.0	Great culture, good training opportunities.	Not much opportunity for moving up.
34	Tech lead	 AVP-IT	29 Jun 2022	4.0	"Good pay
Global exposure
Competitive people
Good work culture
Great senior leadership"	"Bureaucratic
Work-life balance
Hire and fire culture
Toxic local management
silos"
35	Compensation is behind market rate	 Software Engineer	20 Jun 2022	5.0	Good brand name, great if you are interested in finance	Compensation is behind market rate
36	Software Engineer Program APAC	 Programmer Analyst	19 Jun 2022	4.0	Dedicated HR, opportunities to network and rotation.	Pay is not competitive to other banks, delayed promotion if you start in August, training is provided
37	Overall good experience	 Equity Sales Trader	3 Jun 2022	4.0	"Culture is good and juniors are very taken care of. 
A lot of resources for help and internal mobility opportunities available."	You will get very specialized in one area but may not have exposure to other aspect of business. But this is a common issue for all big firms.
38	Late night calls	 Associate Software Engineer	30 May 2022	3.0	Strong management support for self directed cloud learning	Frequent late night calls, which can easily screw up your body clock the next day
39	Sysadmin	 Associate	27 May 2022	5.0	Depends which team you are in	"Less bonus 
Depends on which team and location you are in"
40	Great Company	 Associate	4 May 2022	4.0	Clear objectives for the organisation	Long work hours most days
41	Great Place to Start your Career	 Software Engineer	4 May 2022	4.0	"1. Well managed graduate program
2. Decent increment within the program
3. Mentorship and exposure to different managers provided"	"1. Lots of late night call if your team is mainly working for US products from APAC
2. Lacking clear career path after the graduate program
3. Changing management team, guideline and focus"
42	About Company	 Senior Full Stack Developer	1 May 2022	4.0	Good Company. Try adopt latest tech stack	Salary is ok however should be revised .
43	A place to go only if your are valued by your leads	 AVP-Operations	25 Apr 2022	4.0	"Reputable brand company.
Rewards for valued employees"	"Not a place for Low and middle performing employees 
Aggressive workplace
HR sides management over employee well being"
44	Pretty good firm to work at	 Trading Services Associate	18 Apr 2022	4.0	Decent package. Manager cares about your career progression. Culture quite good	Internal mobility opportunities may not be as easy
45	fun	 Trader	17 Apr 2022	5.0	wide network of people to connect with	can be stressful environment for some
46	Great company to work for	 Associate	11 Apr 2022	5.0	"Flexible working hours
Agile development
Great benefits
Plenty of leaves"	"Needs to be active on seeking promotion.
Bonus is not high"
47	Typical Banking sector arangment	 Senior Java Consultant	7 Apr 2022	3.0	"Upgrading to New Technologies,
Proper project management ,"	"Most of time had to work on India Time so late evening work can expected,
Weekend support need to provide"
48	Culture	 Senior Associate	30 Mar 2022	4.0	Overall a very collaborative environment whereby people works well together in achieving common goals. Encourages mobility within the firm.	Heavy focus on People agenda related non-BAU activities (subjective can be one of the pros too). Can be competitive.
49	Great work life balance	 Associate	29 Mar 2022	5.0	Flexible work hours and work from home options	Restrictive trading policies. Lack of senior leadership.
50	my experience	 Associate Software Engineer	26 Mar 2022	4.0	"- good work-life balance
- good colleagues in general
- good salary and career opportunities"	- work environment/opportunities depend on the team and system you are in
51	Great employer	 Investment Banking Off-Cycle Analyst	23 Mar 2022	5.0	Broad exposure to markets and situations	Places high emphasis on cultural fit
52	Great experience, great learning opportunities	 Corporate Analyst Development Program-Summer Analyst	21 Mar 2022	4.0	"Supportive nature of colleagues, 
nobody looked down on you or your title, 
almost everyone I came across was always willing to spend some time answering questions and mentoring you"	"Could be really stressful at times with little work-life balance, 
pay is low for the role that you're doing in comparison to other similar firms
Work has little to no impact on everyday business - makes you question what you're really doing"
53	Trade processing specialist	 Trade Processing Specialist	19 Mar 2022	4.0	"Good pay and benefits
Supportive environment"	"Long working hours
Difficult to get promoted in ops"
54	Global Bank	 Vice President	17 Mar 2022	4.0	Global bank, focused on profitability, and deal-making	Top heavy, political, less focus for learning & development
55	Payment Operations Analyst	 Payment Operations Analyst	14 Mar 2022	5.0	best employer insurance in sg	"1. ops , no big picture
2. bonus less than 1 month"
56	Great benefits and mobility	 Senior Analyst	9 Mar 2022	5.0	Promote mobility and good coworkers	Projects and automations are expected
57	Good company	 Vice President	7 Mar 2022	5.0	Good company in Singapore. Brand	US based so evening calls are bit disrupting
58	Greta opportunities	 Product Controller	7 Mar 2022	4.0	"Growth opportunities , lots to learn
Insurance"	"Work hours
No work life balance
Dependancy on management."
59	Headline	 Manager	3 Mar 2022	5.0	Good co to work for	Salary increment long hours competitive culture
60	Good benefits but low pay	 Associate	2 Mar 2022	4.0	Good flexi benefits for medical and dental	Low base and annual increment after joining
61	Culture	 Junior Associate	2 Mar 2022	4.0	"Great culture and People are highly motivated.
Flat hierarchy where you can voice your opinions"	"Work Life Balance
Night Calls as your in a global team"
62	IT in JPM	 Vice President	28 Feb 2022	4.0	Excellent bank to work , good work life balance	Nothing seen yet , no difficulties
63	Negative	 Analyst Operations	27 Feb 2022	2.0	"Complimentary Dental/Flexible Benefits
1100 USD for technology purchases
Comprehensive learning materials for self-learning"	"Higher management pushes the agenda to cut manpower costs thru impractical digital solutions (RPA) while expecting operation teams to create such solution without outsourced support
Expectation on new joiners to lead event committees on a regional/global/nation scale to seek attention and justify promotion/compensation
Overtime is ingrained in the culture (although the firm publicly states work-life balance)
Projects are managed without proper expertise at VP and above"
64	Good	 Product Manager	23 Feb 2022	5.0	Good exposure in the company	Long hours due to night calls
65	Good company	 Associate	20 Feb 2022	5.0	"good work life balance.
pay is good"	the pay of everyone in your office is same
66	Great place to work at	 Intern	20 Feb 2022	5.0	"Inclusive culture
People were friendly and helpful
Lots of le earning opportunities and growth
Easy to speak with seniors and executives"	Not that I can think of
67	Good	 Software Engineer	20 Feb 2022	5.0	Flexible timing office hours. Very accommodating higher management	Too far in the east at cbp
68	Call themselves the best, demand the best, but cannot pay	 Senior Associate	18 Feb 2022	3.0	"- No nonsense and very pragmatic in delivering work
- People generally competent
- Don't need to deal with bullshitters prevalent in some other banks
- Seems it's good for CV? So you can use the experience to move somewhere that pays better"	"- Work very demanding. Workload heavy but pay does not match the expectation (at least for non front-office roles)
- Culture is uncaring. No coaching no mentoring - it's just about delvering"
69	great	 Software Engineer	17 Feb 2022	5.0	"nobody at the junior level really works late
managers care about you
no micromanagement
nice office"	"slightly outdated management style
office not in city
making changes will be a bit hard"
70	Nice place to work	 Associate	15 Feb 2022	5.0	Lot of creative folks around to work with. Very competitive and room for growth.	Nothing I can think of.
71	Overall good firm	 Vice Persident	14 Feb 2022	4.0	Good work life balance and friendly culture	compensation is not as good as competitors
72	GOOD Company	 Private Bank Analyst	13 Feb 2022	4.0	Good company with good salary	Stress workplace and lack of workplace balance
73	good	 Investment Analyst	11 Feb 2022	5.0	very very good job will go again	working hours are extremely long
74	culture	 JP Morgan Chase	10 Feb 2022	4.0	culture is very good though	culture has to be improved
75	multinational working environment	 Compliance Analyst	10 Feb 2022	5.0	reputation and name value in financial bankings	a bit too much of Indians
76	The best Investment Bank to work for	 Vice President	10 Feb 2022	5.0	"+ Awesome culture
+ Lots of learning opportunity
+ Good and intelligent people around
+ State of the art in-house technologies"	+ Lots of work :)
77	Great place to work	 Associate	9 Feb 2022	5.0	Great place, great work culture. Focus on productivity rather than time spent working	Politically correct culture to fit with D&I values
78	been working as full-time for almost 2 years	 Analyst	9 Feb 2022	5.0	good medical insurance. Good working environment. Lots of opportunities in the company,	Re-orgs happen quite a lot in such a big corporate.
79	Best in class	 Managing Director	8 Feb 2022	5.0	"Meritocratic and dynamic 
Great mobility opportunities"	None that I can think of
80	work life	 AVP-Java Developer	8 Feb 2022	4.0	technology stack, culture, office environment is good	more things to deliver, impacts work life balance
81	Good	 Senior Associate	6 Feb 2022	4.0	flat hierarchy, good working environment, flexible work hours	high work volume, quick pace
82	Good learning and nice Singapore team	 Site Reliability Engineer	6 Feb 2022	4.0	Lot of learning, good work culture	Too big organisation, lot of process
83	Culture	 Associate	6 Feb 2022	4.0	Efforts always recognized. Good team play mindset	Bureaucracy is alot to handle for juniors
84	Good	 Consultant	5 Feb 2022	5.0	Good environment and working culture	Don’t have negative comments to share
85	IB at JP Morgan Singapore	 Investment Banking Analyst	2 Feb 2022	5.0	- Good salary, hour not too long	- not a lot of deal flow
86	Highly political	 Associate Software Engineer	1 Feb 2022	3.0	"Relatively good salary
Big company
Internal movement options"	"3rd rate managers especially in the mid layer
No work life balance only talk about it
Bonus and promotion only for managers dear ones
Always under threat of losing your job due to org change."
87	Good employer	 Vice President	29 Jan 2022	5.0	Good culture and high quality colleagues	"Long hours and complex
Organization structure"
88	Don't think about joining AML Ops	 Anonymous Employee	26 Jan 2022	1.0	- Good pay and insurance and 24 days of leaves	"- Overwhelming work. CEO and Senior Mgmt do not care if the operations can support aggressive business growth. Business side has the last say if ops can take up the volume.
- Manager is rude
- Burn weekends to work"
89	Not sure	 Digital Project Manager	26 Jan 2022	4.0	People are open to new ideas and flat hierarchy	Can be competitive between people
90	you do what u paid	 Software Engineer	25 Jan 2022	3.0	"good name
global company
competitive salary 
smart workplace"	"long work hour
no work late pay or dinner or taxi provide"
91	Great place to work	 Associate	24 Jan 2022	4.0	Lots of internal opportunities for mobility	too much hierarchy in management
92	Great	 Product Owner	24 Jan 2022	5.0	Good opportunities to learn and grow	Large company might get lost
93	Good	 CADP Summer Analyst	23 Jan 2022	4.0	very invested in your growth	long hours and sometimes overworking
94	Company review	 Senior Associate	23 Jan 2022	4.0	AbIe to match salary with other bank	Working environment not idle due to senior management unnecessary demand
95	Good culture	 Associate	22 Jan 2022	4.0	Good culture and good environment.	Would be better if the IT systems can be further improved.
96	Analyst Pay	 Analyst	21 Jan 2022	4.0	"Steep learning curve and hands-on opportunites
Can relocate to other countries and lines of business if you're good"	Bureaucratic at times, but overall okay
97	No career development	 Associate	20 Jan 2022	2.0	Good CPF benefit and good number of annual leaves 24	No career development. All depend on your manager.
98	People are not that bright but think that they are	 Finance Analyst	19 Jan 2022	2.0	"- Brand name
- New office in Singapore
- Easy job"	"- Working with snobs
- People think they are the best because they work for JPMorgan
- Salary increment for non-front office positions is paltry"
99	KYC and AML Ops	 Associate	9 Jan 2022	3.0	"- Good Insurance benefit
- Good Reputation
- Good technology"	"- Constantly Changing of org structure
- Process unnecessarily complicated
- Management tries too hard to impress their management. Constantly trying to perfect the process and quality, making it stressful for the employee."
100	Work Experience	 Middle Office Associate	7 Jan 2022	4.0	People are generally friendly and company provides opportunity for development and growth.	Firm could improve their compensation for their employees.
101	Good, anybody needs referral contact me	 Analyst	1 Jan 2022	4.0	"Good colleagues friendly.
Pay is decent 
Has internal job transfer opportunities
Contact me if you need referral for any opening in JPM SG"	"Long working hours
Meet deadlines
Bonus not very good as compared to other banks"
102	Good Work life balance, better work culture compared to other banks	 Site Reliability Engineer	30 Dec 2021	5.0	"Good work life balance
better work culture compared to other banks"	not much to tell yet
103	Product control	 Vice President	27 Dec 2021	1.0	"- good work life balance
- good stakeholders"	"- poor management
- dirty politics"
104	Good	 Associate	26 Dec 2021	5.0	Good for exposure, mobility opportunities and frowth	Remuneration could be better, burreaucratic
105	nice environment	 Robotic Process Automation (RPA) Developer	22 Dec 2021	4.0	decent experience for summer intern	no work life balance at all
106	Old Tech Stack	 Associate Software Engineer	20 Dec 2021	4.0	Not bad compensation, but not great	Ancient tech stack, slow to move
107	Women first culture while Men get marginalised unless you bootlick	 Anonymous Employee	17 Dec 2021	2.0	You are really just working for the brand name. The Compensation is not competitive.	"Increasingly you might realise the company has a “woman-first” culture. If there are two equally capable candidates who are top performers, the female will be promoted first. This is very prevalent in internal mobility situations as well where you might realise in the top jobs, female candidates only require to meet the minimum criteria for the role to be accepted while males will be required to overcompensate for the same role to be moved forward. This is only for Analyst/Associate positions which generally is very still very junior. If females were in this position, they would be complaining that there is no gender equality. On this end, there must be controls to protect both females and males equality chances and not just conforming to social pressures to blindly give opportunities and chances to female candidates first.

For males to succeed in the company you probably need to bootlick well and play politics right to get promoted. I had a co-worker who was really close to my manager, didn’t contribute anything to the BAU tasks but was promoted twice in 2 years. They were so close such that even the spouse were friends with him. Clearly the promotion came from favouritism perspective.

Pay is not competitive and the firm is not trying to keep you. You will realise this once you start going for interviews for the same role."
108	ok	 Product Manager	17 Dec 2021	4.0	It offers very Good insurance	Not that i can think of
109	Good	 Analyst	15 Dec 2021	5.0	Good environment to work in.	NA. Nothing of note to mention
110	Great place	 Software Engineer	11 Dec 2021	5.0	so many opportunities to explore (internal mobility)	lack of flexibility as compared to small firms because many code and standards to follow
111	Associate at JPMorgan Chase & Co	 Associate	8 Dec 2021	4.0	Nice working environment, healthy pace	Can have more allowance for internal mobility
112	Unique Experience	 Vice President	3 Dec 2021	4.0	"-Flexible work environment
-Pretty good benefits
-Heavily focusing on Diversity and Inclusion, which is good."	-A lot of mobility changes in senior management which resulted in work environment volatility.
113	NA	 JPMorgan	2 Dec 2021	3.0	international big and reputable firm	Salary was too low for me
114	1	 KYC Associate	30 Nov 2021	4.0	Well equipped with Technology. Great culture	Long working hours and difficult to promote
115	Good time there	 Technology Summer Analyst	25 Nov 2021	5.0	Learnt alot, people were nice	Duration kinda short only for 10 weeks
116	Great place to work	 Payment Lifecycle Analyst	17 Nov 2021	5.0	Firm looks after employees. Plenty of employee welfare. Company invests heavily in software/automation to facilitate processes compared to similar competitors on the market.	Pay progression may not be as competitive if you are only hitting the standard performance.
117	Good place to intern	 Summer Analyst	16 Nov 2021	4.0	Good culture with strong mentoring circle	Some desks can be pretty dysfunctional
118	Good work life balance and opportunities for females	 Product Manager	16 Nov 2021	4.0	Good work life balance and opportunities for females	quite frequent re-org and focus shifting
119	Summer Analyst	 Analyst	15 Nov 2021	5.0	Good mentoring culture with colleagues that are willing to teach.	Some desks are a little dysfunctional.
120	Not for techies	 Senior Associate	9 Nov 2021	3.0	"Good for banking professionals 
Large infra"	"Bad for innovation 
Politics 
No salary based on market standards"
121	Ok	 Analyst	4 Nov 2021	3.0	Nice colleagues and good working environment	Limited growth opportunities for contractors
122	Ok	 Associate Investigator	3 Nov 2021	3.0	Good employer with decent benefits	Competitive and political work culture
123	Good company	 Analyst	2 Nov 2021	5.0	Good pay and smart colleagues	Work life balance can be challeging
124	Great culture, strong platform.	 Summer Analyst	30 Oct 2021	5.0	Strong team culture, abundance of resource to tap on.	Does require more commitment at times, understandably.
125	Good reputation, not so great pay	 Vice President	29 Oct 2021	4.0	"Challenging environment
Great people around you"	Salaries lower than market rate
126	Good place to work at	 Asset Management Summer Analyst	29 Oct 2021	5.0	Focuses on growth of employees	I liked it there, so no
127	Nice brand, crap management	 Investigator	26 Oct 2021	1.0	Brand, sounds good, recognises within the professionals. Until they join…	Useless management. Only looking to boost their resume. Totally no business sense and going for short term profits by financial engineering.
128	Not that great	 Analyst	25 Oct 2021	3.0	Pretty decent benefits and annual leaves	Bonus and pay is poor
129	Good	 Sales Associate	21 Oct 2021	4.0	Good environment for us to work	not so good work life balance for us
130	worst company	 Associate	17 Oct 2021	1.0	HR process is very good. good salary	make you work till die. every day 13 hours . late night meetings
131	Operations Analyst	 Operations Analyst	13 Oct 2021	4.0	Brand name, good bonus, challenging.	Not much support in training, expected to know basics
132	Team you are working with matters the most!	 Associate Software Engineer	10 Oct 2021	4.0	"Good work life balance
Good benefits - insurance wise
Freedom of technology, can spend time in learning
company sponsors multiple certifications"	"It takes lot of time to pass certain decision
Promotion process can be complicated"
133	Work Life Balance	 Associate	9 Oct 2021	4.0	Good work life balance. Lots of paid leaves. Great medical insurance. I love the work culture, as they embrace diversity for equal work oppurtunity, and we have a code of conduct that all employees follow, which I feel safe in this company.	No free food like Google or Facebook, but apart from that, I really love this company. :)
134	Great place to work at	 Operations Analyst	7 Oct 2021	4.0	Lots of benefits, internal mobility options and flexibility	fast paced environment, a lot of hierarchy
135	Good	 AVP-IT	6 Oct 2021	4.0	Good place to work and grow.	No bonus is given to employees
136	Good organization for long term stay and learning	 Senior Associate	3 Oct 2021	5.0	"Nice salary structure 
Diversified culture 
Good benefits
Work life balance"	"Management need focus on recognizing employees 
Give equal focus on employees along with clients."
137	Software Engineer	 Software Engineer	3 Oct 2021	5.0	Good Fintech works to do	Maybe randomly assigned to different teams
138	Okay place to work	 Associate	30 Sep 2021	3.0	"Work Life balance
Cutting edge technology stack
Freedom to opt technology"	"No personal growth
Biased upper management (Racist)
Too much experimental ( Never take team into confidence for bigger reforms)"
139	/	 Software Engineer	28 Sep 2021	5.0	Very Good Experience in JPMorgan	Expo is a little bit far from the central part of Singapore
140	Good place to work	 Senior Java Developer	19 Sep 2021	5.0	everything is good in the company	my dream company to work
141	my experience	 Database Administrator	19 Sep 2021	5.0	Nice work environment and respects employees	No Cons working in jpmorgan
142	Good company Good Culture	 Applications Developer	11 Sep 2021	3.0	"competitive compensation 
good colleagues
reasonable workload"	"sometimes can get very stressful
still US centric company where Asia visibility is comparatively lower"
143	Good company	 Summer Analyst	23 Aug 2021	5.0	Good culture and great teamwork	can not think of any now
144	Not bad	 Analyst	5 Aug 2021	4.0	"-Good learning environment to work in
-Good dental benefits
-Helpful Boss"	"-quite a lot of OT outside of normal working hours
- high volume of work per head count"
145	Working alongside with outstanding, smart, talented and hardworking people who are diverse and global for success	 Regional Compliance Director	1 Aug 2021	5.0	World's leading financial services companies, company culture and values in putting clients's interest first, promote knowledge sharing and support employees with work-family integration	Better opportunity for career mobility within the firm
146	N.a	 Investment Banking Analyst	31 Jul 2021	4.0	High pay, good culture, nice people to work with in the firm	Hours can be brutal sometimes so that could outweigh the pay
147	Good, stable place	 Anonymous Employee	29 Jul 2021	5.0	Interesting work, real world impact, good culture for working, smart colleagues	"Bureaucratic, but expected similar to most banks
Slow adoption of new tech"
148	Colleagues	 Analyst	25 Jul 2021	5.0	Good mix of culture and ethnic	Communication, boring breakout area, and
149	Salary Review	 Senior Associate	23 Jul 2021	3.0	Chill work environment, meetings are on time	On the lower salary band, High Bureaucracy
150	A very political place which seemed to favor hiring certain people from a country who are incompetent	 Associate	20 Jul 2021	2.0	Nothing. Really nothing at all	"Long working hours.
Processes are still very outdated. 
Political colleagues.
No clear cut management style"
151	Good initiatives, rigid org structure	 Investment Operations Associate	11 Jul 2021	4.0	Fast developing, adapting to new trends and being front runner in new product offerings. Big on automating solutions.	Rigid hierarchical org structure, few promotion opportunities. Culture is more individual focused. Minimal year on year increment.
152	ok	 Analyst	9 Jul 2021	4.0	big platform for fresh graduate	Limited upside potential as tracks are fixed
153	Brand and Leadership	 Executive Director	7 Jul 2021	5.0	Very strong brand, strong history	Decision making cocentrated in US.
154	Great team and good projects	 Software Engineer	5 Jul 2021	5.0	Flexible working hours and opportunities to rise are available	repetitive work at times but manageable at the end of the day
155	Decent Pay Package	 Software Engineer	5 Jul 2021	4.0	Pay is average in the banking industry, but slightly higher than average in comparison to all industry. Work life balance in my team is pretty good.	Banks usually use old and limited technology. Some teams have long working hours.
156	Great learning environment	 Wealth Management Summer Analyst	29 Jun 2021	5.0	"Fantastic manager
Many learning opportunities 
Top team"	Usual finance industry gripes (political etc). Experience also depends on manager
157	Great company and culture.	 Senior Associate	28 Jun 2021	4.0	Great Culture, easy going people	Decision making takes ages, depending on team-global calls will have impact on work life balance. Peak project deliverable required to work from 12-15hours.
158	Awesom	 Regional Director of Operations	26 Jun 2021	4.0	Xcellent place to work and earn	none to provide and dictate as requested
159	Good company	 Vice President	21 Jun 2021	5.0	Good company to work for	Nothing about this company is bad
160	Good organization to work in	 Vice President	19 Jun 2021	4.0	Latest technologies. Lots of learning opportunities. Focus on diversity.	average benefits. too much red tape.
161	Great Culture and benefits	 Software Engineer	15 Jun 2021	4.0	Great culture in the firm, which emphasizes inclusiveness.	Rapid work delivery, managers could be hit or miss.
162	Best trading floor in Singapore	 Global Markets Summer Analyst	15 Jun 2021	5.0	Smart People, good compensation, Awesome culture	Honestly, nothing man. If you a solo player you will hate it here
163	Good culture but hard work	 Operations Summer Analyst	14 Jun 2021	5.0	Team mindset and strong culture to succeed	Not for those who cannot adapt to a steep learning curve
164	Good exposure	 Data Analyst	14 Jun 2021	4.0	Competitive working environment, with good remuneration package.	Long working hours, night calls are common.
165	Great work culture	 Analyst	13 Jun 2021	4.0	Good collaborative culture but depending on teams. Strong emphasis on career growth and personal development. They also provide an abundance of learning resources and certification.	Due to the size of the organization, there will be red tape and processes to get things done, slowing down the pace to move quickly and innovate.
166	Generally a Great Company to Work For	 Associate Software Engineer	11 Jun 2021	4.0	Good company culture, decent compensation	Tech is not that fancy; company is very publicly vocal about disliking Work From Home
167	Old school banking with lots of allignment	 Product Manager	2 Jun 2021	2.0	Safe environment with lots of meetings, trying to become more agile but will always struggle wit the amount of alignment needed	Hierarchy, politics, attracts snails rather than dynamic individuals with purpose
168	Best place on earth	 Analyst	1 Jun 2021	4.0	Good salary for a junior	Too much money but no time to spend it
169	Good	 Vice President	30 May 2021	4.0	Good in terms of work	no comments on cons as i am satisfied
